ID,appellation,alternativeNames,gender,verbaleDating,wikidata_id,gnd_id,occupation,resource_urls
6da76320-c4b2-11e9-b62d-9be40f04d16f,"Laß, Heiko",,MALE,,Q95312681,120889625,author,
f2096180-ead9-47fe-bb05-a0b493927773,"Brugger, Andreas",,MALE,,Q496383,118761102,painter,
553e1844-67c8-493b-959f-2f7df61904c8,"Königsegg-Rothenfels, Maria Karolina von",,FEMALE,,Q15450292,1017698996,commissioner,
503b0223-4267-4ac5-bf86-c7f0014e17fd,"Maria Theresia, Montfort",,FEMALE,,Q15833896,1034992554,commissioner,
17092f4b-d591-4786-abc0-d224fc709a96,"Stadion, Maria Maximiliana von",,FEMALE,,Q15450530,1035036177,commissioner,
f281e9f6-06fa-450f-b5eb-2ca93fc4c418,"D'Ixnard, Pierre Michel",,MALE,,Q881112,118711040,architect;designer,
c64773b9-8052-4abf-93ca-43ca97f857db,"Bagnato, Johann Caspar",,MALE,,Q86517,11880880X,architect;builder,
4e1ae053-c5e1-42a5-930b-df51c12c0617,"Ruez, Johann Jakob Willibald",,MALE,,Q110213776,123492025,plasterer;sculptor,
ffd25368-5ae7-4981-bafd-53aa2105f608,"Jäger, Franz Joseph",,MALE,,,,builder;construction manager,
a08a1d6b-46d4-42e5-a00f-f1406c433383,"Messmer, Johann Georg",,MALE,,Q1693899,1012382532,painter,
ce294e7b-f11a-4b5d-8f8f-f750393bfb73,"Reiser, Joseph Anton",,MALE,,,,painter,
6b7e31d0-c4c3-11e9-8385-59bf93401dce,"Dreyer, Angelika",,FEMALE,,Q113781459,142204307,author;originator,
33b85900-c802-11e9-8a8f-6315b3a88f02,"Landes, Anton",,MALE,,Q591396,1029694745,plasterer,
17edeff0-c802-11e9-8a8f-6315b3a88f02,"Göz, Gottfried Bernhard",,MALE,,Q1539111,118696009,painter,
b93b6230-c801-11e9-8a8f-6315b3a88f02,"Mermos, Cölestin, I., Abt",,MALE,,,,commissioner,
f2367b10-c801-11e9-8a8f-6315b3a88f02,"Hitzelberger, Johann Georg",,MALE,,Q1693859,132997827,architect,
15c06542-bf38-464e-9848-9d8dc3d0fce0,"Friedrich, Verena",,FEMALE,,,,author,
39103d2e-0528-45e6-9c4f-a2424d630eea,"Weihing, Johann Georg",,MALE,,,,builder,
4866e67b-c0fd-4737-9ca8-ddb918ab052a,"Weidlich, Anton",,MALE,,,,sculptor,
c91e2d24-107e-44d2-a5b6-a6c7c773e1a4,"Aßner, Johann Georg",,MALE,,,,painter;polychromer,
a5dc5d3e-2084-4ee5-af22-a6de63fb301e,"Egloffstein, Albrecht Christoph Carl, Freiherr",,MALE,,,,commissioner,
32751429-b73e-48f3-b7e0-874e16878448,"De Vos, Maarten",,MALE,,,118643177,template provider,
8357ef1c-47b4-4f1a-a2f3-5b184c4c54d7,"Hopf, Udo",,MALE,,Q95761557,1130711994,author,
